iter	RMSE
0	1551.367828
1	1440.910774
2	1335.216893
3	1239.399134
4	1170.637776
5	1099.210983
6	1034.166968
7	952.3656163
8	895.2907247
9	841.0769819
10	789.3731277
11	743.9684213
12	707.4113392
13	670.6007827
14	634.02888
15	604.9905624
16	569.3078862
17	536.7362258
18	504.4199319
19	482.8434527
20	459.8520658
21	433.0723319
22	408.5773369
23	387.4607557
24	368.7890726
25	353.142332
26	338.4089054
27	326.5502325
28	315.7407523
29	306.7412083
30	297.2898216
31	288.6205762
32	281.0789625
33	272.4886247
34	270.0350781
35	262.3807087
36	257.321651
37	250.3578505
38	244.2283826
39	238.6115777
40	235.2220492
41	228.1381272
42	223.9846674
43	218.2718223
44	212.9913472
45	207.4910177
46	203.6115312
47	199.1714542
48	195.6640493
49	191.2773504
50	190.3816499
51	186.1965457
52	182.1630835
53	180.3320065
54	175.8179213
55	171.5251234
56	167.8080354
57	164.2808268
58	161.0731061
59	158.3166921
60	154.4152798
61	151.962614
62	149.9220137
63	147.1883533
64	145.8019206
65	144.5974482
66	141.8766698
67	139.713977
68	138.480578
69	135.5982979
70	134.3890423
71	133.0976322
72	131.4328263
73	129.853126
74	128.9631241
75	126.7685321
76	125.7616088
77	123.5192242
78	121.6701826
79	120.4503522
80	119.1040054
81	118.2150314
82	117.4386063
83	116.7157971
84	115.5190095
85	114.6875849
86	113.4962681
87	112.2395035
88	110.1257415
89	108.9746925
90	108.3106764
91	107.2105018
92	105.3900582
93	104.3924723
94	102.4189579
95	100.2777935
96	99.34354277
97	98.46167386
98	97.8005036
99	96.97021499
