iter	Passed	Remaining
0	0	51
1	0	45
2	1	39
3	1	40
4	2	41
5	2	38
6	2	37
7	3	34
8	3	33
9	3	31
10	3	30
11	4	29
12	4	29
13	5	35
14	6	36
15	6	35
16	7	34
17	7	34
18	7	33
19	8	32
20	8	32
21	8	31
22	9	30
23	9	29
24	9	29
25	10	29
26	10	28
27	11	28
28	11	28
29	12	28
30	12	27
31	12	27
32	13	26
33	13	26
34	13	25
35	14	24
36	14	24
37	14	23
38	14	23
39	15	22
40	15	21
41	15	21
42	15	20
43	15	20
44	16	19
45	16	19
46	16	18
47	17	18
48	17	17
49	17	17
50	17	17
51	18	16
52	18	16
53	18	15
54	18	15
55	19	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	23	14
62	24	14
63	24	13
64	25	13
65	25	13
66	26	12
67	26	12
68	27	12
69	33	14
70	34	14
71	35	13
72	35	13
73	35	12
74	36	12
75	36	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	46	4
92	47	3
93	47	3
94	47	2
95	48	2
96	48	1
97	49	1
98	49	0
99	50	0
